"";"neighborhood";"apartment_type";"building_type";"square_meters";"price";"price_per_sqm";"year_built";"floor";"elevator";"condition";"property_type";"energy_classification";"post_code";"apartment_type_cleaned";"number_of_rooms";"sauna_dummy";"own_floor";"max_floor";"elevator_dummy";"condition_unrecorded_dummy";"condition_adequate_dummy";"condition_good_dummy";"age_of_building";"own_property_dummy";"energy_class_cleaned";"energy_class_A_dummy";"energy_class_B_dummy";"energy_class_C_dummy";"energy_class_D_dummy";"energy_class_E_dummy";"energy_class_F_dummy";"energy_class_G_dummy";"energy_class_missing_dummy";"one_room_dummy";"two_rooms_dummy";"three_rooms_dummy";"four_or_more_rooms_dummy";"room_information_missing_dummy";"row_house_dummy";"town_house_dummy"
"1";"Keskusta";"1h,avok,kph.";"kt";26;"290000";"11154";"1937";"5/5";"on";"hyvä";"oma";"G2013";"00100";"1h+avok+kph.";1;0;5;5;1;0;0;1;83;1;"G";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"2";"Kamppi";"1h+avok.+alk.+k...";"kt";28,5;"279000";"9789";"1932";"2/7";"on";"hyvä";"oma";"D2007";"00100";"1h+avok.+alk.+k...";1;0;2;7;1;0;0;1;88;1;"D";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"3";"Kamppi";"1h, avok., kph,...";"kt";24,2;"239000";"9876";"1912";"2/5";"on";"tyyd.";"oma";"E2007";"00100";"1h+avok.+kph+...";1;0;2;5;1;0;1;0;108;1;"E";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"4";"Kamppi";"1 h, k, kph";"kt";49;"400000";"8163";"1906";"1/7";"on";"hyvä";"oma";NA;"00100";"1h+k+kph";1;0;1;7;1;0;0;1;114;1;"missing";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"6";"Etu-töölö";"1h";"kt";25,9;"249000";"9614";"1928";"5/6";"on";"hyvä";"oma";"F2013";"00100";"1h";1;0;5;6;1;0;0;1;92;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"7";"Kamppi";"1h+kk+s";"kt";51;"685000";"13431";"2005";"6/6";"on";"hyvä";"oma";"D2007";"00100";"1h+kk+s";1;1;6;6;1;0;0;1;15;1;"D";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"8";"Etu-töölö";"1h, avok, kph, kht";"kt";24;"217000";"9042";"1929";"6/7";"on";"hyvä";"oma";"E2018";"00100";"1h+avok+kph+kht";1;0;6;7;1;0;0;1;91;1;"E";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"9";"Etu-töölö";"1h, kk";"kt";28;"260000";"9286";"1927";"1/6";"on";"tyyd.";"oma";"F2013";"00100";"1h+kk";1;0;1;6;1;0;1;0;93;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"10";"Etu-töölö";"1h+k";"kt";41;"320000";"7805";"1911";"2/5";"ei";"hyvä";"oma";"E2018";"00100";"1h+k";1;0;2;5;0;0;0;1;109;1;"E";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"11";"Töölö";"1h,ikk.kk,kh";"kt";23;"226000";"9826";"1934";"1/3";"ei";"tyyd.";"oma";"D2013";"00100";"1h+ikk.kk+kh";1;0;1;3;0;0;1;0;86;1;"D";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"12";"Keskusta";"1h,k";"kt";47,9;"500000";"10438";"1905";"3/3";"ei";"tyyd.";"oma";"G";"00100";"1h+k";1;0;3;3;0;0;1;0;115;1;"G";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"14";"Etu-töölö";"1h+k+alkovi+kph";"kt";39;"360000";"9231";"1927";"6/6";"on";"tyyd.";"oma";"G2013";"00100";"1h+k+alkovi+kph";1;0;6;6;1;0;1;0;93;1;"G";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"15";"Etu-töölö";"Huone, avokeitt...";"kt";47;"392000";"8340";"1927";"3/6";"on";"hyvä";"oma";"F2013";"00100";"huone+avokeitt...";NA;0;3;6;1;0;0;1;93;1;"F";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
"16";"Kamppi";"1h+k";"kt";52;"398000";"7654";"1911";"5/7";"on";"hyvä";"oma";"D2013";"00100";"1h+k";1;0;5;7;1;0;0;1;109;1;"D";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"17";"Kamppi";"1h, eril. wc, k...";"kt";30;"298000";"9933";"1927";"5/7";"on";"hyvä";"oma";"F2013";"00100";"1h+eril.wc+k...";1;0;5;7;1;0;0;1;93;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"18";"Etu-töölö";"1h,kk";"kt";26,5;"207000";"7811";"1927";"5/7";"on";"huono";"oma";"D2018";"00100";"1h+kk";1;0;5;7;1;0;0;0;93;1;"D";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"19";"Kamppi";"1h, kk, kph";"kt";23;"243000";"10565";"1932";"1/5";"on";"tyyd.";"oma";"E2018";"00100";"1h+kk+kph";1;0;1;5;1;0;1;0;88;1;"E";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
