"";"post_code";"muni_name"
"1";"00100";"Helsinki"
"2";"00120";"Helsinki"
"3";"00130";"Helsinki"
"4";"00140";"Helsinki"
"5";"00150";"Helsinki"
"6";"00160";"Helsinki"
"7";"00170";"Helsinki"
"8";"00180";"Helsinki"
"9";"00190";"Helsinki"
"10";"00200";"Helsinki"
"11";"00210";"Helsinki"
"12";"00220";"Helsinki"
"13";"00230";"Helsinki"
"14";"00240";"Helsinki"
"15";"00250";"Helsinki"
"16";"00260";"Helsinki"
"17";"00270";"Helsinki"
"18";"00280";"Helsinki"
"19";"00290";"Helsinki"
"20";"00300";"Helsinki"
"21";"00310";"Helsinki"
"22";"00320";"Helsinki"
"23";"00330";"Helsinki"
"24";"00340";"Helsinki"
"25";"00350";"Helsinki"
"26";"00360";"Helsinki"
"27";"00370";"Helsinki"
"28";"00380";"Helsinki"
"29";"00390";"Helsinki"
"30";"00400";"Helsinki"
"31";"00410";"Helsinki"
"32";"00420";"Helsinki"
"33";"00430";"Helsinki"
"34";"00440";"Helsinki"
"35";"00500";"Helsinki"
"36";"00510";"Helsinki"
"37";"00520";"Helsinki"
"38";"00530";"Helsinki"
"39";"00540";"Helsinki"
"40";"00550";"Helsinki"
"41";"00560";"Helsinki"
"42";"00570";"Helsinki"
"43";"00580";"Helsinki"
"44";"00590";"Helsinki"
"45";"00600";"Helsinki"
"46";"00610";"Helsinki"
"47";"00620";"Helsinki"
"48";"00630";"Helsinki"
"49";"00640";"Helsinki"
"50";"00650";"Helsinki"
"51";"00660";"Helsinki"
"52";"00670";"Helsinki"
"53";"00680";"Helsinki"
"54";"00690";"Helsinki"
"55";"00700";"Helsinki"
"56";"00710";"Helsinki"
"57";"00720";"Helsinki"
"58";"00730";"Helsinki"
"59";"00740";"Helsinki"
"60";"00750";"Helsinki"
"61";"00760";"Helsinki"
"62";"00770";"Helsinki"
"63";"00780";"Helsinki"
"64";"00790";"Helsinki"
"65";"00800";"Helsinki"
"66";"00810";"Helsinki"
"67";"00820";"Helsinki"
"68";"00830";"Helsinki"
"69";"00840";"Helsinki"
"70";"00850";"Helsinki"
"71";"00860";"Helsinki"
"72";"00870";"Helsinki"
"73";"00880";"Helsinki"
"74";"00890";"Helsinki"
"75";"00900";"Helsinki"
"76";"00910";"Helsinki"
"77";"00920";"Helsinki"
"78";"00930";"Helsinki"
"79";"00940";"Helsinki"
"80";"00950";"Helsinki"
"81";"00960";"Helsinki"
"82";"00970";"Helsinki"
"83";"00980";"Helsinki"
"84";"00990";"Helsinki"
"85";"01120";"Sipoo"
"86";"01150";"Sipoo"
"87";"01180";"Porvoo"
"88";"01190";"Sipoo"
"89";"01200";"Vantaa"
"90";"01230";"Vantaa"
"91";"01260";"Vantaa"
"92";"01280";"Vantaa"
"93";"01300";"Vantaa"
"94";"01340";"Vantaa"
"95";"01350";"Vantaa"
"96";"01360";"Vantaa"
"97";"01370";"Vantaa"
"98";"01380";"Vantaa"
"99";"01390";"Vantaa"
"100";"01400";"Vantaa"
"101";"01420";"Vantaa"
"102";"01450";"Vantaa"
"103";"01480";"Vantaa"
"104";"01490";"Vantaa"
"105";"01510";"Vantaa"
"106";"01520";"Vantaa"
"107";"01530";"Vantaa"
"108";"01600";"Vantaa"
"109";"01610";"Vantaa"
"110";"01620";"Vantaa"
"111";"01630";"Vantaa"
"112";"01640";"Vantaa"
"113";"01650";"Vantaa"
"114";"01660";"Vantaa"
"115";"01670";"Vantaa"
"116";"01680";"Vantaa"
"117";"01690";"Vantaa"
"118";"01700";"Vantaa"
"119";"01710";"Vantaa"
"120";"01720";"Vantaa"
"121";"01730";"Vantaa"
"122";"01740";"Vantaa"
"123";"01750";"Vantaa"
"124";"01760";"Vantaa"
"125";"01770";"Vantaa"
"126";"01800";"Nurmijärvi"
"127";"01810";"Nurmijärvi"
"128";"01820";"Nurmijärvi"
"129";"01830";"Nurmijärvi"
"130";"01840";"Nurmijärvi"
"131";"01860";"Nurmijärvi"
"132";"01900";"Nurmijärvi"
"133";"01940";"Nurmijärvi"
"134";"02100";"Espoo"
"135";"02110";"Espoo"
"136";"02120";"Espoo"
"137";"02130";"Espoo"
"138";"02140";"Espoo"
"139";"02150";"Espoo"
"140";"02160";"Espoo"
"141";"02170";"Espoo"
"142";"02180";"Espoo"
"143";"02200";"Espoo"
"144";"02210";"Espoo"
"145";"02230";"Espoo"
"146";"02240";"Espoo"
"147";"02250";"Espoo"
"148";"02260";"Espoo"
"149";"02270";"Espoo"
"150";"02280";"Espoo"
"151";"02290";"Espoo"
"152";"02300";"Espoo"
"153";"02320";"Espoo"
"154";"02330";"Espoo"
"155";"02340";"Espoo"
"156";"02360";"Espoo"
"157";"02380";"Espoo"
"158";"02390";"Kirkkonummi"
"159";"02400";"Kirkkonummi"
"160";"02410";"Kirkkonummi"
"161";"02420";"Kirkkonummi"
"162";"02430";"Kirkkonummi"
"163";"02440";"Kirkkonummi"
"164";"02450";"Kirkkonummi"
"165";"02460";"Kirkkonummi"
"166";"02470";"Kirkkonummi"
"167";"02480";"Kirkkonummi"
"168";"02490";"Siuntio"
"169";"02510";"Kirkkonummi"
"170";"02520";"Kirkkonummi"
"171";"02540";"Kirkkonummi"
"172";"02550";"Kirkkonummi"
"173";"02570";"Siuntio"
"174";"02580";"Siuntio"
"175";"02590";"Siuntio"
"176";"02600";"Espoo"
"177";"02610";"Espoo"
"178";"02620";"Espoo"
"179";"02630";"Espoo"
"180";"02650";"Espoo"
"181";"02660";"Espoo"
"182";"02680";"Espoo"
"183";"02700";"Kauniainen"
"184";"02710";"Espoo"
"185";"02720";"Espoo"
"186";"02730";"Espoo"
"187";"02740";"Espoo"
"188";"02750";"Espoo"
"189";"02760";"Espoo"
"190";"02770";"Espoo"
"191";"02780";"Espoo"
"192";"02810";"Espoo"
"193";"02820";"Espoo"
"194";"02860";"Espoo"
"195";"02880";"Kirkkonummi"
"196";"02920";"Espoo"
"197";"02940";"Espoo"
"198";"02970";"Espoo"
"199";"02980";"Espoo"
"200";"03100";"Vihti"
"201";"03150";"Vihti"
"202";"03220";"Vihti"
"203";"03250";"Vihti"
"204";"03300";"Vihti"
"205";"03320";"Vihti"
"206";"03400";"Vihti"
"207";"03430";"Vihti"
"208";"03600";"Karkkila"
"209";"03620";"Karkkila"
"210";"03710";"Karkkila"
"211";"03790";"Vihti"
"212";"03810";"Lohja"
"213";"03850";"Lohja"
"214";"03870";"Lohja"
"215";"04130";"Sipoo"
"216";"04150";"Sipoo"
"217";"04170";"Sipoo"
"218";"04200";"Kerava"
"219";"04220";"Kerava"
"220";"04230";"Kerava"
"221";"04240";"Sipoo"
"222";"04250";"Kerava"
"223";"04260";"Kerava"
"224";"04300";"Tuusula"
"225";"04310";"Tuusula"
"226";"04320";"Tuusula"
"227";"04330";"Tuusula"
"228";"04340";"Tuusula"
"229";"04350";"Tuusula"
"230";"04360";"Tuusula"
"231";"04370";"Tuusula"
"232";"04380";"Tuusula"
"233";"04390";"Tuusula"
"234";"04400";"Järvenpää"
"235";"04410";"Järvenpää"
"236";"04420";"Järvenpää"
"237";"04430";"Järvenpää"
"238";"04440";"Järvenpää"
"239";"04460";"Järvenpää"
"240";"04480";"Mäntsälä"
"241";"04500";"Tuusula"
"242";"04530";"Mäntsälä"
"243";"04600";"Mäntsälä"
"244";"04620";"Mäntsälä"
"245";"04630";"Mäntsälä"
"246";"04660";"Mäntsälä"
"247";"04680";"Mäntsälä"
"248";"04740";"Mäntsälä"
"249";"04770";"Mäntsälä"
"250";"04820";"Mäntsälä"
"251";"04840";"Mäntsälä"
"252";"04920";"Mäntsälä"
"253";"04940";"Mäntsälä"
"254";"05100";"Nurmijärvi"
"255";"05200";"Nurmijärvi"
"256";"05250";"Nurmijärvi"
"257";"05400";"Tuusula"
"258";"05430";"Tuusula"
"259";"05440";"Hyvinkää"
"260";"05450";"Nurmijärvi"
"261";"05460";"Hyvinkää"
"262";"05470";"Hyvinkää"
"263";"05510";"Hyvinkää"
"264";"05620";"Hyvinkää"
"265";"05720";"Hyvinkää"
"266";"05800";"Hyvinkää"
"267";"05810";"Hyvinkää"
"268";"05820";"Hyvinkää"
