objectid,posti_alue,vuosi,nimi,namn,kunta,kuntanro,pinta_ala,xcoord,ycoord
1,00100,2020,Helsinki Keskusta - Etu-Töölö,Helsingfors centrum - Främre Tölö,091,91,2353278.46948,385114.00203,6672390.76920
2,00120,2020,Punavuori,Rödbergen,091,91,414009.56274,385613.51953,6671377.83066
3,00130,2020,Kaartinkaupunki,Gardesstaden,091,91,428960.33252,386227.61454,6671492.04932
4,00140,2020,Kaivopuisto - Ullanlinna,Brunnsparken - Ulrikasborg,091,91,931840.95532,386491.17593,6670519.16565
5,00150,2020,Eira - Hernesaari,Eira - Ärtholmen,091,91,1367327.61401,385117.96136,6670308.47929
6,00160,2020,Katajanokka,Skatudden,091,91,541135.67017,387315.06320,6671716.48007
7,00170,2020,Kruununhaka,Kronohagen,091,91,713343.26636,386475.38507,6672475.58732
8,00180,2020,Kamppi - Ruoholahti,Kampen - Gräsviken,091,91,1735293.33691,384270.93466,6671353.82006
9,00190,2020,Suomenlinna,Sveaborg,091,91,765012.32422,388101.77024,6669261.63759
10,00200,2020,Lauttasaari,Drumsö,091,91,2619434.18066,381744.20016,6671166.37632
11,00210,2020,Vattuniemi,Hallonnäs,091,91,1478220.78296,382295.50925,6669211.66737
12,00220,2020,Jätkäsaari,Busholmen,091,91,684781.26880,384382.54358,6670621.10676
13,00230,2020,Ilmala,Ilmala,091,91,171851.13281,384730.05342,6677126.60724
14,00240,2020,Länsi-Pasila,Västra Böle,091,91,2248864.12915,384905.23614,6676085.57005
15,00250,2020,Taka-Töölö,Bortre Tölö,091,91,3065419.40308,384015.66022,6674112.31829
16,00260,2020,Keski-Töölö,Mellersta Tölö,091,91,751804.77344,384850.02590,6673247.66698
17,00270,2020,Pohjois-Meilahti,Norra Mejlans,091,91,864732.14673,383757.51889,6674929.88972
18,00280,2020,Ruskeasuo,Brunakärr,091,91,822671.84888,383946.72646,6675770.43086
19,00290,2020,Meilahden sairaala-alue,Mejlans sjukhusområde,091,91,268739.11060,383909.79177,6674306.75991
20,00300,2020,Pikku Huopalahti,Lillhoplax,091,91,851105.44434,383195.38839,6675942.47886
21,00310,2020,Kivihaka,Stenhagen,091,91,621965.77954,384050.80462,6676743.93723
22,00320,2020,Etelä-Haaga,Södra Haga,091,91,1942279.82471,383408.98917,6677407.24431
23,00330,2020,Munkkiniemi,Munksnäs,091,91,1726679.88696,382149.28754,6675383.03280
